Position,Goals,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Appearances
Midfielder,1,0.0,0.0,1.0,0.0,0.0,15.0,4.0,1.0,1.0,0.0,0.0,36.0,0.0,5.0,12.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,716,25.57,6.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,22,13.0,28
Midfielder,0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,49.0,0.0,6.0,37.0,14.0,9.0,0.0,163.0,127.0,129.0,30.0,12.0,26.0,0.0,0.0,3,1372,52.77,2.0,71.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,21,0.0,26
Forward,39,4.0,30.0,5.0,2.0,1.0,204.0,93.0,4.0,31.0,0.0,0.0,92.0,0.0,44.0,30.0,49.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2045,20.66,15.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,127,62.0,99
Forward,55,3.0,44.0,8.0,7.0,1.0,222.0,105.0,8.0,39.0,0.0,0.0,58.0,0.0,52.0,25.0,38.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1880,21.61,17.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,30,55.0,87
Forward,5,0.0,0.0,5.0,1.0,0.0,51.0,18.0,3.0,2.0,0.0,0.0,32.0,0.0,14.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,723,21.91,8.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,14,4.0,33
Forward,1,0.0,1.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,286,14.3,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8,4.0,20
Forward,4,0.0,2.0,2.0,0.0,0.0,20.0,8.0,4.0,3.0,0.0,0.0,9.0,0.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,172,7.48,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,18,5.0,23
Forward,3,0.0,3.0,0.0,0.0,0.0,12.0,5.0,0.0,1.0,0.0,0.0,20.0,0.0,2.0,3.0,5.0,4.0,0.0,34.0,46.0,92.0,9.0,8.0,37.0,0.0,0.0,0,116,8.29,0.0,22.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,9,2.0,14
Forward,37,1.0,33.0,3.0,5.0,4.0,393.0,145.0,15.0,20.0,0.0,0.0,246.0,0.0,111.0,100.0,54.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,8290,35.13,51.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,131,33.0,236
Goalkeeper,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0,3290,28.36,0.0,0.0,0.0,1067.0,408.0,3.0,40.0,96.0,73.0,53.0,436.0,1023.0,5,0,2,0.0,116
