Goals,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Position
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,1.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.0,27.859375,0.4353125,0.0,0.0,0.0,3.65625,3.46875,0.015625,0.53125,0.40625,0.265625,0.4375,5.859375,7.640625,0.03125,0.0,0.0,0.0,Goalkeeper
0.04375,0.0,0.025,0.01875,0.0,0.0,0.0,0.0,0.01875,0.0,0.33125,1.0375,1.3375,0.00625,0.2,1.3,1.9,0.89375,0.01875,4.575,3.81875,4.43125,1.225,1.00625,1.34375,0.00625,0.00625,0.1125,44.53125,0.2783125,0.175,2.43125,0.19375,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14375,0.0,0.78125,0.05,Defender
0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,1.3125,0.0,0.0625,0.75,2.0,0.75,0.0,3.9375,3.4375,2.375,0.75,0.625,1.0,0.0,0.0,0.0625,32.4375,2.0275,0.0625,2.8125,0.0,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5625,0.0,Defender
0.0681818181818181,0.0227272727272727,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0227272727272727,0.0,0.2045454545454545,1.318181818181818,1.5227272727272727,0.0227272727272727,0.0909090909090909,0.9772727272727272,3.977272727272727,1.8636363636363635,0.0227272727272727,3.9318181818181817,5.159090909090909,3.636363636363636,0.25,2.613636363636364,1.6590909090909092,0.0,0.0227272727272727,0.0454545454545454,54.90909090909091,1.247954545454545,0.0909090909090909,0.0227272727272727,0.0454545454545454,3.909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,1.2727272727272727,0.0227272727272727,Defender
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2439024390243902,1.0975609756097562,1.2195121951219512,0.024390243902439,0.073170731707317,1.3170731707317074,4.146341463414634,2.2439024390243905,0.0,4.682926829268292,4.2926829268292686,3.463414634146341,0.4634146341463415,2.341463414634146,1.5609756097560976,0.0,0.0,0.0,53.65853658536585,1.308780487804878,0.0,0.073170731707317,0.024390243902439,2.8292682926829267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,0.0,0.7804878048780488,0.0,Defender
0.0707070707070707,0.0606060606060606,0.0101010101010101,0.0,0.0,0.0,0.0,0.0,0.0202020202020202,0.0,0.2626262626262626,1.181818181818182,1.9898989898989896,0.0202020202020202,0.1414141414141414,1.9696969696969695,5.363636363636363,3.484848484848485,0.0202020202020202,4.595959595959596,6.767676767676767,4.202020202020202,0.2626262626262626,4.171717171717172,2.202020202020202,0.0,0.0303030303030303,0.0404040404040404,59.66666666666666,0.6027272727272728,0.0505050505050505,0.4545454545454545,0.1313131313131313,2.757575757575758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2828282828282828,0.0,1.181818181818182,0.0707070707070707,Defender
0.0431654676258992,0.0071942446043165,0.0287769784172661,0.0071942446043165,0.0,0.0,0.0,0.0,0.0071942446043165,0.0,0.2014388489208633,1.223021582733813,1.8489208633093528,0.0071942446043165,0.158273381294964,1.776978417266187,3.8633093525179856,2.1654676258992804,0.0071942446043165,5.287769784172662,5.057553956834532,4.453237410071942,0.6690647482014388,2.1654676258992804,1.7266187050359711,0.0071942446043165,0.0071942446043165,0.0215827338129496,42.69784172661871,0.3071942446043165,0.0647482014388489,1.5107913669064748,0.0287769784172661,2.1870503597122304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2014388489208633,0.0071942446043165,0.9856115107913668,0.014388489208633,Defender
0.0670103092783505,0.0309278350515463,0.0309278350515463,0.0051546391752577,0.0,0.0,0.0,0.0,0.0257731958762886,0.0,0.3298969072164948,0.8917525773195877,1.2371134020618555,0.0206185567010309,0.3041237113402061,1.7731958762886595,4.288659793814433,2.283505154639175,0.0103092783505154,5.371134020618556,4.360824742268041,3.5051546391752577,0.4123711340206185,1.7731958762886595,1.3195876288659794,0.0051546391752577,0.0206185567010309,0.0360824742268041,52.396907216494846,0.2701030927835051,0.1134020618556701,0.345360824742268,0.4072164948453608,5.051546391752577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2061855670103092,0.0154639175257731,1.092783505154639,0.0257731958762886,Defender
0.0256410256410256,0.0,0.0,0.0256410256410256,0.0,0.0,0.0,0.0,0.0128205128205128,0.0,0.2179487179487179,1.1025641025641026,1.435897435897436,0.0,0.141025641025641,0.9230769230769232,1.4230769230769231,0.8717948717948718,0.0,4.67948717948718,3.641025641025641,3.3846153846153846,0.5256410256410257,1.2435897435897436,1.0256410256410255,0.0,0.0128205128205128,0.141025641025641,41.03846153846154,0.5261538461538462,0.2307692307692307,1.5769230769230769,0.0384615384615384,0.8589743589743589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.9487179487179488,0.2051282051282051,Defender
0.1793478260869565,0.0217391304347826,0.0217391304347826,0.1358695652173913,0.0,0.0054347826086956,1.1141304347826086,0.5,0.0380434782608695,0.1413043478260869,0.0,0.0,0.875,0.0,0.3152173913043478,0.4076086956521739,0.2010869565217391,0.0706521739130434,0.0,4.228260869565218,3.3967391304347827,4.043478260869565,1.3478260869565215,0.1521739130434782,0.4510869565217391,0.0,0.0108695652173913,0.2934782608695652,60.79347826086956,0.3303804347826087,0.3532608695652174,4.532608695652174,0.657608695652174,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0706521739130434,0.0,0.5163043478260869,0.4510869565217391,Midfielder
