Goals,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Appearances,Position
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,1.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.0,27.859375,0.4353125,0.0,0.0,0.0,3.65625,3.46875,0.015625,0.53125,0.40625,0.265625,0.4375,5.859375,7.640625,0.03125,0.0,0.0,0.0,1.0,Goalkeeper
0.04375,0.0,0.025,0.01875,0.0,0.0,0.0,0.0,0.01875,0.0,0.33125,1.0375,1.3375,0.00625,0.2,1.3,1.9,0.89375,0.01875,4.575,3.81875,4.43125,1.225,1.00625,1.34375,0.00625,0.00625,0.1125,44.53125,0.2783125,0.175,2.43125,0.19375,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14375,0.0,0.78125,0.05,1.0,Defender
0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,1.3125,0.0,0.0625,0.75,2.0,0.75,0.0,3.9375,3.4375,2.375,0.75,0.625,1.0,0.0,0.0,0.0625,32.4375,2.0275,0.0625,2.8125,0.0,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5625,0.0,1.0,Defender
0.06818181818181818,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.20454545454545456,1.3181818181818181,1.5227272727272727,0.022727272727272728,0.09090909090909091,0.9772727272727273,3.977272727272727,1.8636363636363635,0.022727272727272728,3.9318181818181817,5.159090909090909,3.6363636363636362,0.25,2.6136363636363638,1.6590909090909092,0.0,0.022727272727272728,0.045454545454545456,54.90909090909091,1.2479545454545453,0.09090909090909091,0.022727272727272728,0.045454545454545456,3.909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,1.2727272727272727,0.022727272727272728,1.0,Defender
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24390243902439024,1.0975609756097562,1.2195121951219512,0.024390243902439025,0.07317073170731707,1.3170731707317074,4.146341463414634,2.2439024390243905,0.0,4.682926829268292,4.2926829268292686,3.4634146341463414,0.4634146341463415,2.341463414634146,1.5609756097560976,0.0,0.0,0.0,53.65853658536585,1.3087804878048779,0.0,0.07317073170731707,0.024390243902439025,2.8292682926829267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,0.0,0.7804878048780488,0.0,1.0,Defender
0.0707070707070707,0.06060606060606061,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.26262626262626265,1.1818181818181819,1.9898989898989898,0.020202020202020204,0.1414141414141414,1.9696969696969697,5.363636363636363,3.484848484848485,0.020202020202020204,4.595959595959596,6.767676767676767,4.202020202020202,0.26262626262626265,4.171717171717172,2.202020202020202,0.0,0.030303030303030304,0.04040404040404041,59.666666666666664,0.6027272727272728,0.050505050505050504,0.45454545454545453,0.13131313131313133,2.757575757575758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2828282828282828,0.0,1.1818181818181819,0.0707070707070707,1.0,Defender
0.04316546762589928,0.007194244604316547,0.02877697841726619,0.007194244604316547,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.2014388489208633,1.223021582733813,1.8489208633093526,0.007194244604316547,0.15827338129496402,1.776978417266187,3.8633093525179856,2.1654676258992804,0.007194244604316547,5.287769784172662,5.057553956834532,4.453237410071942,0.6690647482014388,2.1654676258992804,1.7266187050359711,0.007194244604316547,0.007194244604316547,0.02158273381294964,42.697841726618705,0.30719424460431655,0.06474820143884892,1.5107913669064748,0.02877697841726619,2.1870503597122304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2014388489208633,0.007194244604316547,0.9856115107913669,0.014388489208633094,1.0,Defender
0.06701030927835051,0.030927835051546393,0.030927835051546393,0.005154639175257732,0.0,0.0,0.0,0.0,0.02577319587628866,0.0,0.32989690721649484,0.8917525773195877,1.2371134020618557,0.020618556701030927,0.30412371134020616,1.7731958762886597,4.288659793814433,2.283505154639175,0.010309278350515464,5.371134020618556,4.360824742268041,3.5051546391752577,0.41237113402061853,1.7731958762886597,1.3195876288659794,0.005154639175257732,0.020618556701030927,0.03608247422680412,52.396907216494846,0.27010309278350514,0.1134020618556701,0.34536082474226804,0.4072164948453608,5.051546391752577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20618556701030927,0.015463917525773196,1.092783505154639,0.02577319587628866,1.0,Defender
0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.21794871794871795,1.1025641025641026,1.435897435897436,0.0,0.14102564102564102,0.9230769230769231,1.4230769230769231,0.8717948717948718,0.0,4.67948717948718,3.641025641025641,3.3846153846153846,0.5256410256410257,1.2435897435897436,1.0256410256410255,0.0,0.01282051282051282,0.14102564102564102,41.03846153846154,0.5261538461538462,0.23076923076923078,1.5769230769230769,0.038461538461538464,0.8589743589743589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.9487179487179487,0.20512820512820512,1.0,Defender
0.1793478260869565,0.021739130434782608,0.021739130434782608,0.1358695652173913,0.0,0.005434782608695652,1.1141304347826086,0.5,0.03804347826086957,0.14130434782608695,0.0,0.0,0.875,0.0,0.31521739130434784,0.4076086956521739,0.20108695652173914,0.07065217391304347,0.0,4.228260869565218,3.3967391304347827,4.043478260869565,1.3478260869565217,0.15217391304347827,0.45108695652173914,0.0,0.010869565217391304,0.29347826086956524,60.79347826086956,0.3303804347826087,0.3532608695652174,4.532608695652174,0.657608695652174,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07065217391304347,0.0,0.5163043478260869,0.45108695652173914,1.0,Midfielder
